,企业代号,month,价税合计,大单交易额,大单交易额增长率,退款总额,退款总额增长率,退款大单交易额（不用）,数量
1,E1,2,294943901.4,294809376,2.291288588,-40000,1787.47095,0,52
2,E1,3,675613805.8,675493359,0.62079316,-71498838,0.002884606,-71498838,55
3,E1,4,419551982.3,419341657.2,0.937237176,-206246,0,-205920,54
4,E1,5,393196551.1,393022590.5,1.772724487,0,#DIV/0!,0,57
5,E1,6,696974057.2,696720770,0.568398038,0,#DIV/0!,0,47
6,E1,7,397683120.1,396014719,1.317615089,-30062829.05,2.328466156,-30000000,69
7,E1,8,523517794.3,521794969.2,1.298829634,-70000280,1.285723429,-70000000,80
8,E1,9,679600669.1,677722769,1.085129992,-90001000,0.888879012,-90000000,104
9,E1,10,737782016.8,735417303,0.983598812,-80000000,1.5,-80000000,100
10,E1,11,724869191.8,723355585.4,1.033032176,-120000000,0.685571775,-120000000,65
11,E1,12,750305328,747249594.5,0,-82268613,0.00040307,-82251333,76
12,E10,1,464300.29,0,#DIV/0!,-33160,0,0,107
13,E10,2,254247.9,0,#DIV/0!,0,#DIV/0!,0,92
14,E10,3,404603.46,0,#DIV/0!,-4536,12.51514771,0,128
15,E10,4,342996.64,0,#DIV/0!,-56768.71,0.006411983,0,143
16,E10,5,349603.22,0,#DIV/0!,-364,15.5267033,0,138
17,E10,6,667496.72,0,#DIV/0!,-5651.72,0.141387047,0,121
18,E10,7,529571.24,0,#DIV/0!,-799.08,13.55431246,0,156
19,E10,8,568370.52,0,#DIV/0!,-10830.98,0,0,163
20,E10,9,587754.74,0,#DIV/0!,0,#DIV/0!,0,186
21,E10,10,404868.66,0,#DIV/0!,-34844.72,0.852342909,0,202
22,E10,11,613477.93,0,#DIV/0!,-29699.65,0,0,184
23,E10,12,230670.32,0,#DIV/0!,0,#DIV/0!,0,112
24,E100,1,2733,0,#DIV/0!,0,#DIV/0!,0,6
25,E100,2,2306,0,#DIV/0!,0,#DIV/0!,0,5
26,E100,3,395,0,#DIV/0!,0,#DIV/0!,0,2
27,E100,4,1657,0,#DIV/0!,0,#DIV/0!,0,3
28,E100,5,2412.02,0,#DIV/0!,0,#DIV/0!,0,6
29,E100,6,3189,0,#DIV/0!,0,#DIV/0!,0,4
30,E100,7,763,0,#DIV/0!,0,#DIV/0!,0,1
31,E100,8,5972,0,#DIV/0!,0,#DIV/0!,0,2
32,E100,9,130,0,#DIV/0!,0,#DIV/0!,0,1
33,E100,10,937,0,#DIV/0!,0,#DIV/0!,0,3
34,E100,11,659,0,#DIV/0!,0,#DIV/0!,0,3
35,E100,12,2170,0,#DIV/0!,0,#DIV/0!,0,6
36,E101,1,216,0,#DIV/0!,0,#DIV/0!,0,1
37,E101,3,468,0,#DIV/0!,0,#DIV/0!,0,2
38,E101,4,506,0,#DIV/0!,0,#DIV/0!,0,1
39,E101,5,720,0,#DIV/0!,0,#DIV/0!,0,1
40,E101,6,9088,0,#DIV/0!,0,#DIV/0!,0,1
41,E101,7,41145,0,#DIV/0!,0,#DIV/0!,0,3
42,E101,8,280,0,#DIV/0!,0,#DIV/0!,0,1
43,E101,10,503,0,#DIV/0!,0,#DIV/0!,0,1
44,E101,12,232,0,#DIV/0!,0,#DIV/0!,0,1
45,E102,1,276357.59,0,#DIV/0!,-990,0,0,28
46,E102,2,418943.33,0,#DIV/0!,0,#DIV/0!,0,18
47,E102,3,287916.86,0,#DIV/0!,0,#DIV/0!,0,21
48,E102,4,403324.65,0,#DIV/0!,0,#DIV/0!,0,24
49,E102,5,237448.07,0,#DIV/0!,0,#DIV/0!,0,26
50,E102,6,265065.05,0,#DIV/0!,0,#DIV/0!,0,28
51,E102,7,341275.58,0,#DIV/0!,0,#DIV/0!,0,29
52,E102,8,266275.76,0,#DIV/0!,-40,25.2,0,21
53,E102,9,258044.28,0,#DIV/0!,-1008,0,0,28
54,E102,10,239131.32,0,#DIV/0!,0,#DIV/0!,0,24
55,E102,11,330098.79,0,#DIV/0!,-2163.5,8.265283106,0,27
56,E102,12,334435.8,0,#DIV/0!,-17881.94,0,0,34
57,E103,1,121961.04,0,#DIV/0!,0,#DIV/0!,0,16
58,E103,2,2824,0,#DIV/0!,0,#DIV/0!,0,4
59,E103,3,19803,0,#DIV/0!,0,#DIV/0!,0,9
60,E103,4,18651.52,0,#DIV/0!,0,#DIV/0!,0,9
61,E103,5,5971.9,0,#DIV/0!,0,#DIV/0!,0,6
62,E103,6,22054.09,0,#DIV/0!,0,#DIV/0!,0,7
63,E103,7,122839,0,#DIV/0!,0,#DIV/0!,0,12
64,E103,8,14643.93,0,#DIV/0!,0,#DIV/0!,0,17
65,E103,9,16700.98,0,#DIV/0!,0,#DIV/0!,0,6
66,E103,10,34197.5,0,#DIV/0!,0,#DIV/0!,0,9
67,E103,11,34601.95,0,#DIV/0!,0,#DIV/0!,0,9
68,E103,12,324016.7,203831.5,0,0,#DIV/0!,0,12
69,E104,6,280,0,#DIV/0!,0,#DIV/0!,0,1
70,E105,1,3960,0,#DIV/0!,0,#DIV/0!,0,2
71,E105,6,560,0,#DIV/0!,0,#DIV/0!,0,1
72,E105,12,3960,0,#DIV/0!,0,#DIV/0!,0,2
73,E106,1,906,0,#DIV/0!,0,#DIV/0!,0,2
74,E106,2,515,0,#DIV/0!,0,#DIV/0!,0,2
75,E106,3,108,0,#DIV/0!,0,#DIV/0!,0,1
76,E106,4,11988,0,#DIV/0!,0,#DIV/0!,0,3
77,E106,5,252.7,0,#DIV/0!,0,#DIV/0!,0,3
78,E106,7,17212.4,0,#DIV/0!,0,#DIV/0!,0,5
79,E106,8,12364,0,#DIV/0!,0,#DIV/0!,0,3
80,E106,10,5260,0,#DIV/0!,0,#DIV/0!,0,2
81,E106,11,2829,0,#DIV/0!,0,#DIV/0!,0,3
82,E106,12,1026,0,#DIV/0!,0,#DIV/0!,0,4
83,E107,2,20479,0,#DIV/0!,0,#DIV/0!,0,3
84,E107,5,71232,0,#DIV/0!,0,#DIV/0!,0,1
85,E107,7,18359,0,#DIV/0!,0,#DIV/0!,0,2
86,E107,11,280,0,#DIV/0!,0,#DIV/0!,0,1
87,E107,12,560,0,#DIV/0!,0,#DIV/0!,0,2
88,E108,1,34626.96,0,#DIV/0!,-200,0,0,13
89,E108,2,1815.19,0,#DIV/0!,0,#DIV/0!,0,6
90,E108,3,4701.93,0,#DIV/0!,0,#DIV/0!,0,13
91,E108,4,8199.59,0,#DIV/0!,0,#DIV/0!,0,11
92,E108,5,15147.97,0,#DIV/0!,-202.53,0,0,10
93,E108,6,7089.17,0,#DIV/0!,0,#DIV/0!,0,14
94,E108,7,8071.03,0,#DIV/0!,0,#DIV/0!,0,14
95,E108,8,2724.51,0,#DIV/0!,0,#DIV/0!,0,12
96,E108,9,3840.5,0,#DIV/0!,-100,0,0,9
97,E108,10,2700.81,0,#DIV/0!,0,#DIV/0!,0,11
98,E108,11,10391.39,0,#DIV/0!,0,#DIV/0!,0,13
99,E108,12,6913.9,0,#DIV/0!,0,#DIV/0!,0,12
100,E109,1,1278,0,#DIV/0!,0,#DIV/0!,0,3
101,E109,2,160,0,#DIV/0!,0,#DIV/0!,0,1
102,E109,5,280,0,#DIV/0!,0,#DIV/0!,0,1
103,E109,6,248,0,#DIV/0!,0,#DIV/0!,0,1
104,E109,10,617,0,#DIV/0!,0,#DIV/0!,0,2
105,E109,11,300,0,#DIV/0!,0,#DIV/0!,0,1
106,E109,12,488,0,#DIV/0!,0,#DIV/0!,0,1
107,E11,1,16977628.89,9124706.15,0.127061626,-99211.3,0,0,134
108,E11,2,2219905.77,1159400,4.638772641,0,#DIV/0!,0,48
109,E11,3,8306045.61,5378193,1.573953642,0,#DIV/0!,0,52
110,E11,4,13079258.08,8465026.46,1.125736254,0,#DIV/0!,0,62
111,E11,5,15148280.96,9529387.18,0.174240945,0,#DIV/0!,0,56
112,E11,6,6690587.06,1660409.43,3.817424435,-112856.61,0,-111168.64,42
113,E11,7,16832262.91,6338487.53,0.682466071,0,#DIV/0!,0,72
114,E11,8,8385518.03,4325802.68,1.1289382,-12160,9.416628289,0,69
115,E11,9,15932758.38,4883563.89,0.462967458,-114506.2,0.525336619,-106206.2,88
116,E11,10,9404490.15,2260931.16,2.394850266,-60154.3,1.492162655,0,92
117,E11,11,13275782.14,5414591.59,0.715872404,-89760,0,0,112
118,E11,12,17959430.1,3876156.7,0,0,#DIV/0!,0,99
119,E110,11,760,0,#DIV/0!,0,#DIV/0!,0,1
120,E110,12,280,0,#DIV/0!,0,#DIV/0!,0,1
121,E111,1,38488.05,0,#DIV/0!,0,#DIV/0!,0,25
122,E111,2,16015.44,0,#DIV/0!,0,#DIV/0!,0,8
123,E111,3,16565.28,0,#DIV/0!,0,#DIV/0!,0,7
124,E111,4,27853.35,0,#DIV/0!,0,#DIV/0!,0,17
125,E111,5,40121.12,0,#DIV/0!,0,#DIV/0!,0,17
126,E111,6,70479.57,0,#DIV/0!,0,#DIV/0!,0,21
127,E111,7,211266.22,107250,0,0,#DIV/0!,0,18
128,E111,8,35697.62,0,#DIV/0!,0,#DIV/0!,0,16
129,E111,9,48492.43,0,#DIV/0!,0,#DIV/0!,0,13
130,E111,10,70522.13,0,#DIV/0!,0,#DIV/0!,0,15
131,E111,11,-108916.66,0,#DIV/0!,-300000,0,0,11
132,E111,12,62689.46,0,#DIV/0!,0,#DIV/0!,0,22
133,E112,1,86383,0,#DIV/0!,0,#DIV/0!,0,5
134,E112,2,32737,0,#DIV/0!,0,#DIV/0!,0,2
135,E112,3,45178.6,0,#DIV/0!,0,#DIV/0!,0,5
136,E112,4,105461.77,0,#DIV/0!,0,#DIV/0!,0,9
137,E112,5,82306,0,#DIV/0!,-4680,0,0,6
138,E112,6,24420.12,0,#DIV/0!,0,#DIV/0!,0,5
139,E112,7,133756.5,0,#DIV/0!,0,#DIV/0!,0,5
140,E112,8,35495,0,#DIV/0!,0,#DIV/0!,0,5
141,E112,9,82964.38,0,#DIV/0!,-2470,0,0,4
142,E112,10,161792.92,0,#DIV/0!,0,#DIV/0!,0,7
143,E112,11,64445.5,0,#DIV/0!,0,#DIV/0!,0,5
144,E112,12,65305.1,0,#DIV/0!,0,#DIV/0!,0,4
145,E113,1,178915.92,0,#DIV/0!,0,#DIV/0!,0,7
146,E113,2,4925.1,0,#DIV/0!,0,#DIV/0!,0,6
147,E113,3,1857.1,0,#DIV/0!,0,#DIV/0!,0,4
148,E113,4,2663.1,0,#DIV/0!,0,#DIV/0!,0,7
149,E113,5,919684.1,0,#DIV/0!,0,#DIV/0!,0,8
150,E113,6,1216.1,0,#DIV/0!,0,#DIV/0!,0,4
151,E113,7,14773.2,0,#DIV/0!,0,#DIV/0!,0,5
152,E113,8,30079.2,0,#DIV/0!,0,#DIV/0!,0,7
153,E113,9,40782.27,0,#DIV/0!,0,#DIV/0!,0,2
154,E113,10,9091.1,0,#DIV/0!,0,#DIV/0!,0,5
155,E113,11,14423.1,0,#DIV/0!,0,#DIV/0!,0,8
156,E113,12,139170.44,137400,0,0,#DIV/0!,0,7
157,E114,1,9714,0,#DIV/0!,0,#DIV/0!,0,3
158,E114,2,148065,0,#DIV/0!,0,#DIV/0!,0,4
159,E114,3,312,0,#DIV/0!,0,#DIV/0!,0,1
160,E114,4,42700,0,#DIV/0!,0,#DIV/0!,0,3
161,E114,5,2500,0,#DIV/0!,0,#DIV/0!,0,2
162,E114,6,56076,0,#DIV/0!,0,#DIV/0!,0,3
163,E114,7,118164,0,#DIV/0!,0,#DIV/0!,0,6
164,E114,8,11671,0,#DIV/0!,0,#DIV/0!,0,4
165,E114,9,4285,0,#DIV/0!,0,#DIV/0!,0,2
166,E114,10,47400,0,#DIV/0!,0,#DIV/0!,0,2
167,E114,11,51870,0,#DIV/0!,0,#DIV/0!,0,5
168,E114,12,151560,0,#DIV/0!,0,#DIV/0!,0,7
169,E115,10,280,0,#DIV/0!,0,#DIV/0!,0,1
170,E115,12,280,0,#DIV/0!,0,#DIV/0!,0,1
171,E116,1,469,0,#DIV/0!,0,#DIV/0!,0,1
172,E116,3,676.25,0,#DIV/0!,0,#DIV/0!,0,2
173,E116,8,204,0,#DIV/0!,0,#DIV/0!,0,1
174,E116,10,339,0,#DIV/0!,0,#DIV/0!,0,2
175,E116,11,558,0,#DIV/0!,0,#DIV/0!,0,1
176,E116,12,560,0,#DIV/0!,0,#DIV/0!,0,2
177,E117,2,3800,0,#DIV/0!,0,#DIV/0!,0,1
178,E117,6,1200,0,#DIV/0!,0,#DIV/0!,0,1
179,E117,7,330,0,#DIV/0!,0,#DIV/0!,0,1
180,E117,11,1790,0,#DIV/0!,0,#DIV/0!,0,1
181,E118,1,3120,0,#DIV/0!,0,#DIV/0!,0,1
182,E118,2,280,0,#DIV/0!,0,#DIV/0!,0,1
183,E118,3,14419,0,#DIV/0!,0,#DIV/0!,0,3
184,E118,4,1596,0,#DIV/0!,0,#DIV/0!,0,1
185,E118,5,34677,0,#DIV/0!,0,#DIV/0!,0,2
186,E118,6,2247,0,#DIV/0!,0,#DIV/0!,0,2
187,E118,7,2512,0,#DIV/0!,0,#DIV/0!,0,3
188,E118,8,2015.79,0,#DIV/0!,0,#DIV/0!,0,2
189,E118,9,1819,0,#DIV/0!,0,#DIV/0!,0,1
190,E118,10,1610,0,#DIV/0!,0,#DIV/0!,0,1
191,E118,11,1032,0,#DIV/0!,0,#DIV/0!,0,1
192,E118,12,2385,0,#DIV/0!,0,#DIV/0!,0,1
193,E119,1,15390.57,0,#DIV/0!,0,#DIV/0!,0,6
194,E119,2,14676.74,0,#DIV/0!,0,#DIV/0!,0,4
195,E119,3,21552.33,0,#DIV/0!,0,#DIV/0!,0,4
196,E119,4,33121.24,0,#DIV/0!,0,#DIV/0!,0,7
197,E119,5,12644.15,0,#DIV/0!,0,#DIV/0!,0,4
198,E119,6,8053.6,0,#DIV/0!,0,#DIV/0!,0,5
199,E119,7,25934.19,0,#DIV/0!,-39,0,0,6
200,E119,8,20684.88,0,#DIV/0!,0,#DIV/0!,0,8
201,E119,9,28683.52,0,#DIV/0!,0,#DIV/0!,0,8
202,E119,10,23024.46,0,#DIV/0!,0,#DIV/0!,0,5
203,E119,11,8682.17,0,#DIV/0!,0,#DIV/0!,0,7
204,E119,12,37286.98,0,#DIV/0!,0,#DIV/0!,0,7
205,E12,1,11623480.01,10904334.2,0.856443147,-1369,0,0,85
206,E12,2,9709615.76,9338942.3,0.660188257,0,#DIV/0!,0,50
207,E12,3,6762461.27,6165460.04,0.735492075,0,#DIV/0!,0,61
208,E12,4,4839979.64,4534647,1.160846566,-8260,0.324455206,0,63
209,E12,5,8199148.18,5264029.4,0.727167766,-2680,0,0,68
210,E12,6,5587960.77,3827832.5,0.382736852,0,#DIV/0!,0,79
211,E12,7,2917762.67,1465052.56,7.651110688,-152324,0.019012106,0,81
212,E12,8,14196999.15,11209279.3,0.349671633,-2896,0,0,53
213,E12,9,5310415.44,3919567,0.191347667,0,#DIV/0!,0,57
214,E12,10,1687570.83,750000,6.949686667,0,#DIV/0!,0,64
215,E12,11,6647265.57,5212265,3.231512692,0,#DIV/0!,0,66
216,E12,12,17964353.41,16843500.5,0,-99021.13,0,0,77
217,E120,1,652,0,#DIV/0!,0,#DIV/0!,0,3
218,E120,2,1999.9,0,#DIV/0!,0,#DIV/0!,0,3
219,E120,3,200,0,#DIV/0!,0,#DIV/0!,0,1
220,E120,5,11248,0,#DIV/0!,0,#DIV/0!,0,4
221,E120,6,1510,0,#DIV/0!,0,#DIV/0!,0,4
222,E120,7,600,0,#DIV/0!,0,#DIV/0!,0,2
223,E120,9,630,0,#DIV/0!,0,#DIV/0!,0,1
224,E120,12,2606.44,0,#DIV/0!,0,#DIV/0!,0,6
225,E121,1,125684.46,0,#DIV/0!,0,#DIV/0!,0,2
226,E121,2,125002.99,0,#DIV/0!,0,#DIV/0!,0,1
227,E121,3,134597.52,0,#DIV/0!,0,#DIV/0!,0,2
228,E121,4,134719.14,0,#DIV/0!,0,#DIV/0!,0,4
229,E121,5,135530.43,0,#DIV/0!,-2400,0,0,5
230,E121,6,108360.5,0,#DIV/0!,0,#DIV/0!,0,3
231,E121,7,106952.22,0,#DIV/0!,0,#DIV/0!,0,3
232,E121,8,60902.96,0,#DIV/0!,0,#DIV/0!,0,3
233,E121,9,65736.97,0,#DIV/0!,0,#DIV/0!,0,4
234,E121,10,108031.7,0,#DIV/0!,0,#DIV/0!,0,3
235,E121,11,83839.05,0,#DIV/0!,0,#DIV/0!,0,1
236,E121,12,61761.94,0,#DIV/0!,0,#DIV/0!,0,2
237,E122,1,3197,0,#DIV/0!,0,#DIV/0!,0,4
238,E122,2,4597,0,#DIV/0!,-5588,0,0,7
239,E122,3,24376.26,0,#DIV/0!,0,#DIV/0!,0,7
240,E122,4,1458,0,#DIV/0!,0,#DIV/0!,0,3
241,E122,5,1344,0,#DIV/0!,0,#DIV/0!,0,3
242,E122,6,791,0,#DIV/0!,0,#DIV/0!,0,3
243,E122,7,13,0,#DIV/0!,0,#DIV/0!,0,1
244,E122,8,5333,0,#DIV/0!,0,#DIV/0!,0,5
245,E122,9,2252,0,#DIV/0!,0,#DIV/0!,0,4
246,E122,10,1392,0,#DIV/0!,0,#DIV/0!,0,1
247,E122,11,4874,0,#DIV/0!,0,#DIV/0!,0,1
248,E122,12,4119,0,#DIV/0!,0,#DIV/0!,0,1
249,E123,12,840,0,#DIV/0!,0,#DIV/0!,0,2
250,E13,1,10827666.95,3265841.7,0.715164284,-61152.77,6.70452E-05,0,192
251,E13,2,8949207.37,2335613.34,0.612532895,-4.1,0,0,157
252,E13,3,5560604,1430640,2.930875091,0,#DIV/0!,0,174
253,E13,4,8977777.35,4193027.14,0.409430214,-2895.13,0.256040316,0,177
254,E13,5,7272193.52,1716752,2.328993104,-741.27,253.98396,0,174
255,E13,6,10269302.57,3998303.57,0.774735133,-188270.69,0.110766684,0,155
256,E13,7,7709457.74,3097626.25,0.857551546,-20854.12,1.612144267,0,193
257,E13,8,8777806.48,2656374.18,0.67676189,-33619.85,0.588402387,0,193
258,E13,9,7752451.38,1797732.81,1.676984023,-19782,4.132644829,0,194
259,E13,10,8329483.8,3014769.2,0.769628846,-81751.98,0.154589406,0,160
260,E13,11,8198702.46,2320253.34,1.030456722,-12637.99,0,0,163
261,E13,12,11003849.35,2390920.65,0.597981861,0,#DIV/0!,0,171
262,E14,1,7596997.52,1429727.18,0.919252301,-727755.47,0.114963712,-424031.6,204
263,E14,2,4056141.68,1314280,2.979097772,-83665.47,1.007832383,0,152
264,E14,3,10226110.78,3915368.62,0.166583207,-84320.77,1.476408719,0,185
265,E14,4,5826802.66,652234.66,3.398317563,-124491.92,3.742455575,0,208
266,E14,5,7519322.5,2216500.5,0.451483359,-465905.48,0.652724454,-115470,188
267,E14,6,6225618.14,1000713.09,2.668031953,-304107.9,1.212004522,-107279.93,208
268,E14,7,8393498.87,2669934.5,1.286813485,-368580.15,0.214916484,0,191
269,E14,8,9471116.43,3435707.72,1.132751583,-79213.95,0.458162735,0,194
270,E14,9,9173639.69,3891803.36,0.240956591,-36292.88,1.076239196,0,192
271,E14,10,6479530.48,937755.67,7.949531598,-39059.82,3.192263815,0,235
272,E14,11,14138135.22,7454718.33,3.874751883,-124689.25,0.63525332,-101187.5,204
273,E14,12,35996756.27,28885183.89,0.027630844,-79209.26,0,0,204
274,E15,1,1035822,798122,0,0,#DIV/0!,0,5
275,E15,3,329,0,#DIV/0!,0,#DIV/0!,0,2
276,E15,4,781417.99,650000,0,0,#DIV/0!,0,8
277,E15,5,266996.4,0,#DIV/0!,0,#DIV/0!,0,10
278,E15,6,390498.05,0,#DIV/0!,0,#DIV/0!,0,6
279,E15,7,794889,224454,0,0,#DIV/0!,0,6
280,E15,8,44978,0,#DIV/0!,0,#DIV/0!,0,2
281,E15,9,654114,0,#DIV/0!,0,#DIV/0!,0,6
282,E15,10,4551,0,#DIV/0!,0,#DIV/0!,0,4
283,E15,11,176672,126672,0.801282051,0,#DIV/0!,0,2
284,E15,12,653677,101500,0,0,#DIV/0!,0,6
285,E16,1,8493.8,0,#DIV/0!,0,#DIV/0!,0,5
286,E16,2,7525.87,0,#DIV/0!,0,#DIV/0!,0,5
287,E16,3,10111.9,0,#DIV/0!,0,#DIV/0!,0,7
288,E16,4,22920.02,0,#DIV/0!,0,#DIV/0!,0,17
289,E16,5,22542.49,0,#DIV/0!,0,#DIV/0!,0,18
290,E16,6,82110.07,0,#DIV/0!,0,#DIV/0!,0,17
291,E16,7,23788.39,0,#DIV/0!,-20500,0,0,16
292,E16,8,16821.32,0,#DIV/0!,0,#DIV/0!,0,13
293,E16,9,33988.31,0,#DIV/0!,0,#DIV/0!,0,17
294,E16,10,7741.44,0,#DIV/0!,0,#DIV/0!,0,7
295,E16,11,14332.91,0,#DIV/0!,0,#DIV/0!,0,9
296,E16,12,42371.9,0,#DIV/0!,0,#DIV/0!,0,16
297,E17,1,18064098.03,6468064.28,0.106705331,-64920,0,0,181
298,E17,2,5875802.5,690176.94,4.569398783,0,#DIV/0!,0,87
299,E17,3,8905549.71,3153693.67,1.32592233,-24764,3.048780488,0,136
300,E17,4,12514373.15,4181552.86,0.993412603,-75500,4.033211921,0,172
301,E17,5,10809441.61,4154007.31,0.950049893,-304507.5,4.626873558,-142500,167
302,E17,6,13196578.34,3946514.2,1.016325744,-1408917.7,0.225703602,-1360701.2,192
303,E17,7,16929491.21,4010943.98,0.970972305,-317997.8,0.123565477,0,211
304,E17,8,13446580.43,3894515.52,0.660804672,-39293.55,26.52576772,0,185
305,E17,9,12640548.08,2573514.05,2.266487199,-1042291.58,0.04487228,-824547.23,197
306,E17,10,14987344.23,5832836.65,0.372004687,-46770,2.031185803,0,193
307,E17,11,7249066.61,2169842.57,1.159152224,-94998.56,0.185265966,0,119
308,E17,12,8163145.29,2515177.84,4.689997086,-17600,4.872498295,0,134
309,E18,1,20619911.29,11796176.74,-0.012008732,-85755.97,12.72646091,0,137
310,E18,2,2429447.45,-141657.12,-33.88206636,-1091370,0.006617004,-895000,67
311,E18,3,8516809.4,4799635.94,0.337878318,-7221.6,26.04477955,0,109
312,E18,4,4927793.36,1621692.92,1.87970976,-188084.98,0.095701422,0,78
313,E18,5,7471798.94,3048312.01,1.1372071,-18000,5.555555556,0,101
314,E18,6,10253687.98,3466562.06,1.279366581,-100000,0,0,99
315,E18,7,10021379.13,4435003.65,0.41522578,0,#DIV/0!,0,111
316,E18,8,5937018.37,1841527.85,3.555805442,-1567.3,0,0,97
317,E18,9,16709484.38,6548114.75,0.321400553,0,#DIV/0!,0,125
318,E18,10,6005350.72,2104567.7,0.480976269,-7872,1.309382622,0,116
319,E18,11,6445536.33,1012247.12,23.43256662,-10307.46,13.34664408,0,115
320,E18,12,38414619.86,23719548.08,0.585980132,-137570,1.160209348,0,160
321,E19,1,18315107.51,13899183.91,0.404088086,-159610,0.03759163,0,38
322,E19,2,6568794.32,5616494.62,3.190890536,-6000,0,0,16
323,E19,3,20395459.43,17921619.53,0.889987136,0,#DIV/0!,0,33
324,E19,4,19311567.4,15950010.83,0.836494094,0,#DIV/0!,0,28
325,E19,5,14461902.98,13342089.86,1.078522572,0,#DIV/0!,0,33
326,E19,6,15742363.28,14389745.07,0.979251866,0,#DIV/0!,0,26
327,E19,7,15108023.46,14091184.71,1.059680039,0,#DIV/0!,0,34
328,E19,8,17102442.59,14932147.16,1.17210135,0,#DIV/0!,0,40
329,E19,9,18470648.3,17501989.84,1.063357538,0,#DIV/0!,0,36
330,E19,10,21156694.61,18610872.83,0.836575717,0,#DIV/0!,0,38
331,E19,11,18761330.5,15569404.28,1.368479681,0,#DIV/0!,0,37
332,E19,12,26746222.92,21306413.4,0.257553296,0,#DIV/0!,0,40
333,E2,1,29641086.53,5487537,0.248719052,-95636.93,4.545748593,0,891
334,E2,2,5341370.76,1364855,3.205928249,-434741.44,0.159849036,0,525
335,E2,3,11362340.16,4375627.2,0.271115419,-69493,0.610824112,0,682
